"subnetwork_id","subnetwork_name","area","regional","oss","tech"
"1000","RNCZ_SORONG3","SORONG","PUMA","EMS6(10.166.13.151)","3G"
"1005","RNCZ_JAYAPURA1","JAYAPURA","PUMA","EMS6(10.166.13.151)","3G"
"1006","RNCZ_JAYAPURA2","JAYAPURA","PUMA","EMS6(10.166.13.151)","3G"
"1009","RNCZ_JAYAPURA3","JAYAPURA","PUMA","EMS6(10.166.13.151)","3G"
"101","BSCZ_PALU4","MANADO","SULAWESI","EMS5(10.174.44.173)","2G"
"1011","RNCZ_PATTIMURA3","AMBON","PUMA","EMS6(10.166.13.151)","3G"
"1016","RNCZ_RELOCKAYUTIGA1","AMBON","PUMA","EMS6(10.166.13.151)","3G"
"1017","RNCZ_TUAL","AMBON","PUMA","EMS6(10.166.13.151)","3G"
"1018","RNCZ_DOBO","AMBON","PUMA","EMS6(10.166.13.151)","3G"
"1019","RNCZ_SAUMLAKI","AMBON","PUMA","EMS6(10.166.13.151)","3G"
"102","BSCZ_MANADO7","PALU","SULAWESI","EMS5(10.174.44.173)","2G"
"1020","RNCZ_MANOKWARI1","SORONG","PUMA","EMS6(10.166.13.151)","3G"
"1021","RNCZ_SORONG2","SORONG","PUMA","EMS6(10.166.13.151)","3G"
"1025","RNCZ_BINTUNI1","SORONG","PUMA","EMS6(10.166.13.151)","3G"
"103","BSCZ_GORONTALO7","MANADO","SULAWESI","EMS5(10.174.44.173)","2G"
"1030","RNCZ_SERUI1","JAYAPURA","PUMA","EMS6(10.166.13.151)","3G"
"1031","RNCZ_MERAUKE2","TIMIKA","PUMA","EMS6(10.166.13.151)","3G"
"1034","RNCZ_MERAUKE1","TIMIKA","PUMA","EMS6(10.166.13.151)","3G"
"1035","RNCZ_NABIRE1","JAYAPURA","PUMA","EMS6(10.166.13.151)","3G"
"1036","RNCZ_BIAK1","JAYAPURA","PUMA","EMS6(10.166.13.151)","3G"
"1037","RNCZ_TIMIKA1","TIMIKA","PUMA","EMS6(10.166.13.151)","3G"
"1038","RNCZ_TIMIKA2","JAYAPURA","PUMA","EMS6(10.166.13.151)","3G"
"1039","RNCZ_WAMENA1","JAYAPURA","PUMA","EMS6(10.166.13.151)","3G"
"1040","RNCZ_SARMI","JAYAPURA","PUMA","EMS6(10.166.13.151)","3G"
"1041","RNCZ_JAYAPURA4","JAYAPURA","PUMA","EMS6(10.166.13.151)","3G"
"110","BSCZ_PENGAYOMAN1","PARE-PARE","SULAWESI","EMS7(10.54.28.129)","2G"
"111","BSCZ_PENGAYOMAN2","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","2G"
"112","BSCZ_PENGAYOMAN3 ","PARE-PARE","SULAWESI","EMS7(10.54.28.129)","2G"
"113","BSCZ_PENGAYOMAN4","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","2G"
"114","BSCZ_SUDIANG1","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","2G"
"115","BSCZ_SUDANG2","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","2G"
"116","BSCZ_SUDIANG3","PARE-PARE","SULAWESI","EMS7(10.54.28.129)","2G"
"117","BSCZ_SUDIANG4","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","2G"
"118","BSCZ_JENEPONTO1","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","2G"
"119","BSCZ_BONE1","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","2G"
"120","BSCZ_BONE2","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","2G"
"121","BSCZ_BULUKUMBA1","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","2G"
"122","BSCZ_BULUKUMBA2","PARE-PARE","SULAWESI","EMS7(10.54.28.129)","2G"
"123","BSCZ_PAREPARE1","PARE-PARE","SULAWESI","UME9(10.40.50.10)","2G"
"124","BSCZ_PAREPARE2","MAKASSAR","SULAWESI","UME9(10.40.50.10)","2G"
"125","BSC_PATTIROSOMPA2","PARE-PARE","SULAWESI","UME9(10.40.50.10)","2G"
"127","BSCZ_SIDRAP1","MAKASSAR","SULAWESI","UME9(10.40.50.10)","2G"
"128","BSCZ_KENDARI1","KENDARI","SULAWESI","UME9(10.40.50.10)","2G"
"129","BSCZ_TERNATE1","MANADO","SULAWESI","UME9(10.40.50.10)","2G"
"130","BSCZ_MAMUJU1","PARE-PARE","SULAWESI","UME9(10.40.50.10)","2G"
"131","BSCZ_PATTIROSOMPA1","PARE-PARE","SULAWESI","UME9(10.40.50.10)","2G"
"132","BSCZ_PEKKABATA1","PARE-PARE","SULAWESI","UME9(10.40.50.10)","2G"
"133","BSCZ_PINRANG1","PARE-PARE","SULAWESI","UME9(10.40.50.10)","2G"
"134","BSCZ_PINRANG2","MAKASSAR","SULAWESI","UME9(10.40.50.10)","2G"
"135","BSCZ_RANTEPAO1","MAKASSAR","SULAWESI","UME9(10.40.50.10)","2G"
"136","BSCZ_TOBIA1","MAKASSAR","SULAWESI","UME9(10.40.50.10)","2G"
"137","BSCZ_WONOMULYO1","PARE-PARE","SULAWESI","UME9(10.40.50.10)","2G"
