SITE_ID,SITE_NUM,CONTROLLER_NUM,CONTROLLER_NAME,LAC,CI,REGION,NSA,SITE_NAME,POI_NAME,POI_LOCATION,POI_LONGITUDE,POI_LATITUDE,KATEGORI
BLC021,4440,311,BSCZ_BLC1,3,32214,KALIMANTAN,BANJARMASIN,S_BLC021_PELITA,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC021,4440,311,BSCZ_BLC1,3,32215,KALIMANTAN,BANJARMASIN,S_BLC021_PELITA,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC021,4440,311,BSCZ_BLC1,3,32216,KALIMANTAN,BANJARMASIN,S_BLC021_PELITA,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC021,4440,311,BSCZ_BLC1,3,32211,KALIMANTAN,BANJARMASIN,S_BLC021_PELITA,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC021,4440,311,BSCZ_BLC1,3,32212,KALIMANTAN,BANJARMASIN,S_BLC021_PELITA,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC021,4440,311,BSCZ_BLC1,3,32213,KALIMANTAN,BANJARMASIN,S_BLC021_PELITA,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC119,4508,311,BSCZ_BLC1,3,31194,KALIMANTAN,BANJARMASIN,S_BLC119_FRIENDSHIP-PTI,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC119,4508,311,BSCZ_BLC1,3,31195,KALIMANTAN,BANJARMASIN,S_BLC119_FRIENDSHIP-PTI,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC119,4508,311,BSCZ_BLC1,3,31196,KALIMANTAN,BANJARMASIN,S_BLC119_FRIENDSHIP-PTI,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC151,4525,311,BSCZ_BLC1,3,31514,KALIMANTAN,BANJARMASIN,S_BLC151_PELABUHANSAMUDRA-DMT,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC151,4525,311,BSCZ_BLC1,3,31515,KALIMANTAN,BANJARMASIN,S_BLC151_PELABUHANSAMUDRA-DMT,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC151,4525,311,BSCZ_BLC1,3,31516,KALIMANTAN,BANJARMASIN,S_BLC151_PELABUHANSAMUDRA-DMT,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC151,4525,311,BSCZ_BLC1,3,31511,KALIMANTAN,BANJARMASIN,S_BLC151_PELABUHANSAMUDRA-DMT,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC151,4525,311,BSCZ_BLC1,3,31512,KALIMANTAN,BANJARMASIN,S_BLC151_PELABUHANSAMUDRA-DMT,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BLC151,4525,311,BSCZ_BLC1,3,31513,KALIMANTAN,BANJARMASIN,S_BLC151_PELABUHANSAMUDRA-DMT,TAMAN EDUKASI BATULICIN,SPECIAL AREA/MALL/ALUN ALUN,116.0021908,-3.4309269,POI BAU
BJM185,4289,309,BSCZ_BJM1,4,31851,KALIMANTAN,BANJARMASIN,S_BJM185M21_JALANSARTIKABANJARMASIN-DMT,KELAYAN,RESIDENTIAL,114.6003587,-3.34188,POI BAU
BJM185,4289,309,BSCZ_BJM1,4,31852,KALIMANTAN,BANJARMASIN,S_BJM185M21_JALANSARTIKABANJARMASIN-DMT,KELAYAN,RESIDENTIAL,114.6003587,-3.34188,POI BAU
BJM185,4289,309,BSCZ_BJM1,4,31853,KALIMANTAN,BANJARMASIN,S_BJM185M21_JALANSARTIKABANJARMASIN-DMT,KELAYAN,RESIDENTIAL,114.6003587,-3.34188,POI BAU
COK345,805,206,BSCZ_SAUMLAKI,2,33141,PUMA,AMBON,C_COK345M21_CombatSaumlakiCity,PELABUHAN SAUMLAKI,BANDARA/STASIUN/PELABUHAN,131.297679,-7.982634,VIP
COK345,805,206,BSCZ_SAUMLAKI,2,33142,PUMA,AMBON,C_COK345M21_CombatSaumlakiCity,PELABUHAN SAUMLAKI,BANDARA/STASIUN/PELABUHAN,131.297679,-7.982634,VIP
COK345,805,206,BSCZ_SAUMLAKI,2,33143,PUMA,AMBON,C_COK345M21_CombatSaumlakiCity,PELABUHAN SAUMLAKI,BANDARA/STASIUN/PELABUHAN,131.297679,-7.982634,VIP
COK345,805,206,BSCZ_SAUMLAKI,2,13141,PUMA,AMBON,C_COK345M21_CombatSaumlakiCity,PELABUHAN SAUMLAKI,BANDARA/STASIUN/PELABUHAN,131.297679,-7.982634,VIP
COK345,805,206,BSCZ_SAUMLAKI,2,13142,PUMA,AMBON,C_COK345M21_CombatSaumlakiCity,PELABUHAN SAUMLAKI,BANDARA/STASIUN/PELABUHAN,131.297679,-7.982634,VIP
COK345,805,206,BSCZ_SAUMLAKI,2,13143,PUMA,AMBON,C_COK345M21_CombatSaumlakiCity,PELABUHAN SAUMLAKI,BANDARA/STASIUN/PELABUHAN,131.297679,-7.982634,VIP
COK352,739,252,BSCZ_TIMIKA2,2,15161,PUMA,TIMIKA,C_COK352M21_CombatNaruMosezKilangin,BANDARA BARU MOZES KILANGIN TIMIKA,BANDARA/STASIUN/PELABUHAN,136.883087,-4.533339,VIP
COK352,739,252,BSCZ_TIMIKA2,2,15162,PUMA,TIMIKA,C_COK352M21_CombatNaruMosezKilangin,BANDARA BARU MOZES KILANGIN TIMIKA,BANDARA/STASIUN/PELABUHAN,136.883087,-4.533339,VIP
COK352,739,252,BSCZ_TIMIKA2,2,15163,PUMA,TIMIKA,C_COK352M21_CombatNaruMosezKilangin,BANDARA BARU MOZES KILANGIN TIMIKA,BANDARA/STASIUN/PELABUHAN,136.883087,-4.533339,VIP
KDI125,932,141,BSCZ_KENDARI3,3,14621,SULAWESI,KENDARI,E_KDI125M21_NusaMart,LIPPO MALL KENDARI,SPECIAL AREA/MALL/ALUN ALUN,122.5106,-3.9917,BAU
KDI125,932,141,BSCZ_KENDARI3,3,14622,SULAWESI,KENDARI,E_KDI125M21_NusaMart,LIPPO MALL KENDARI,SPECIAL AREA/MALL/ALUN ALUN,122.5106,-3.9917,BAU
KDI125,932,141,BSCZ_KENDARI3,3,14623,SULAWESI,KENDARI,E_KDI125M21_NusaMart,LIPPO MALL KENDARI,SPECIAL AREA/MALL/ALUN ALUN,122.5106,-3.9917,BAU
KKP061,4955,316,BSCZ_PLK3,3,40611,KALIMANTAN,PALANGKARAYA,S_KKP061M21_DESAHAMPATUNG-PTI,FERRY PENYEBERANGAN KAPUAS,RESIDENTIAL,114.394646,-3.019309,POI BAU
KKP061,4955,316,BSCZ_PLK3,3,40612,KALIMANTAN,PALANGKARAYA,S_KKP061M21_DESAHAMPATUNG-PTI,FERRY PENYEBERANGAN KAPUAS,RESIDENTIAL,114.394646,-3.019309,POI BAU
KKP061,4955,316,BSCZ_PLK3,3,40613,KALIMANTAN,PALANGKARAYA,S_KKP061M21_DESAHAMPATUNG-PTI,FERRY PENYEBERANGAN KAPUAS,RESIDENTIAL,114.394646,-3.019309,POI BAU
KKP071,4963,316,BSCZ_PLK3,3,40711,KALIMANTAN,PALANGKARAYA,S_KKP071M21_JALANBARITO-PTI,FERRY PENYEBERANGAN KAPUAS,RESIDENTIAL,114.394646,-3.019309,POI BAU
KKP071,4963,316,BSCZ_PLK3,3,40712,KALIMANTAN,PALANGKARAYA,S_KKP071M21_JALANBARITO-PTI,FERRY PENYEBERANGAN KAPUAS,RESIDENTIAL,114.394646,-3.019309,POI BAU
KKP071,4963,316,BSCZ_PLK3,3,40713,KALIMANTAN,PALANGKARAYA,S_KKP071M21_JALANBARITO-PTI,FERRY PENYEBERANGAN KAPUAS,RESIDENTIAL,114.394646,-3.019309,POI BAU
MDO472,650,156,BSCZ_MANADO9,9290,54727,SULAWESI,MANADO,C_MDO472M21_Mantos3-INB,MANADO TOWN SQUARE,SPECIAL AREA/MALL/ALUN ALUN,124.8315,1.4719,BAU
MDO472,650,156,BSCZ_MANADO9,9290,54728,SULAWESI,MANADO,C_MDO472M21_Mantos3-INB,MANADO TOWN SQUARE,SPECIAL AREA/MALL/ALUN ALUN,124.8315,1.4719,BAU
MPW141,5402,306,BSCZ_PTK2,1,41411,KALIMANTAN,PONTIANAK,S_MPW141_PASARBERINGIN-TBG,SIMPANG TUGU SUNGAI PINYUH,SPECIAL AREA/MALL/ALUN ALUN,109.074718,0.278316,POI BAU
