PrimKey,SITE_ID,SITE_NUM,CONTROLLER_NUM,CONTROLLER_NAME,REGION,SITE_NAME,LAC,CI,LAC_CI_NODE,BAND,NODE,LONGITUDE,LATITUDE,CLUSTER_NAME,SUB_NAME,NSA,POI_AREA,POI_REGIONAL,POI_NAME,POI_LOCATION,POI_CATEGORY,POI_LONGITUDE,POI_LATITUDE,KATEGORI
,PTK270,6527,305,BSCZ_PTK1,KALIMANTAN,PTK270_NANGASEJIRAK-PTI,18340,14,18340_14_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK036,6425,305,BSCZ_PTK1,KALIMANTAN,PTK036_MALLAYANIMEGAMALL,18340,11,18340_11_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK084,6440,305,BSCZ_PTK1,KALIMANTAN,PTK084_HOTELMERCURE,18340,14,18340_14_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK036,6425,305,BSCZ_PTK1,KALIMANTAN,PTK036_MALLAYANIMEGAMALL,18340,16,18340_16_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK036,6425,305,BSCZ_PTK1,KALIMANTAN,PTK036_MALLAYANIMEGAMALL,18340,15,18340_15_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK270,6527,305,BSCZ_PTK1,KALIMANTAN,PTK270_NANGASEJIRAK-PTI,18345,11,18345_11_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK270,6527,305,BSCZ_PTK1,KALIMANTAN,PTK270_NANGASEJIRAK-PTI,18345,13,18345_13_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK036,6425,305,BSCZ_PTK1,KALIMANTAN,PTK036_MALLAYANIMEGAMALL,18345,13,18345_13_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK036,6425,305,BSCZ_PTK1,KALIMANTAN,PTK036_MALLAYANIMEGAMALL,18345,12,18345_12_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK036,6425,305,BSCZ_PTK1,KALIMANTAN,PTK036_MALLAYANIMEGAMALL,18345,14,18345_14_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK084,6440,305,BSCZ_PTK1,KALIMANTAN,PTK084_HOTELMERCURE,18345,13,18345_13_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK270,6527,305,BSCZ_PTK1,KALIMANTAN,PTK270_NANGASEJIRAK-PTI,18345,12,18345_12_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK084,6440,305,BSCZ_PTK1,KALIMANTAN,PTK084_HOTELMERCURE,18345,1,18345_1_2G,GSM 900,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK084,6440,305,BSCZ_PTK1,KALIMANTAN,PTK084_HOTELMERCURE,18345,3,18345_3_2G,GSM 900,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK084,6440,305,BSCZ_PTK1,KALIMANTAN,PTK084_HOTELMERCURE,18345,2,18345_2_2G,GSM 900,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK084,6440,305,BSCZ_PTK1,KALIMANTAN,PTK084_HOTELMERCURE,18345,12,18345_12_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,PTK084,6440,305,BSCZ_PTK1,KALIMANTAN,PTK084_HOTELMERCURE,18345,11,18345_11_2G,DCS 1800,2G,109.345662,-0.051244,,,PONTIANAK,PONTIANAK,KALIMANTAN,AYANI MEGAMALL,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,109.345662,-0.051244,SPECIAL AREA
,SAG001,6759,302,BSCZ_SGU1,KALIMANTAN,SAG001_STOSANGGAU-DMT,18283,1,18283_1_2G,GSM 900,2G,110.5932458,0.1220836,,,PONTIANAK,PONTIANAK,KALIMANTAN,TAMAN ARONG BELOPA,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,110.5932458,0.1220836,SPECIAL AREA
,SAG001,6759,302,BSCZ_SGU1,KALIMANTAN,SAG001_STOSANGGAU-DMT,18283,11,18283_11_2G,DCS 1800,2G,110.5932458,0.1220836,,,PONTIANAK,PONTIANAK,KALIMANTAN,TAMAN ARONG BELOPA,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,110.5932458,0.1220836,SPECIAL AREA
,SAG001,6759,302,BSCZ_SGU1,KALIMANTAN,SAG001_STOSANGGAU-DMT,18283,12,18283_12_2G,DCS 1800,2G,110.5932458,0.1220836,,,PONTIANAK,PONTIANAK,KALIMANTAN,TAMAN ARONG BELOPA,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,110.5932458,0.1220836,SPECIAL AREA
,SAG001,6759,302,BSCZ_SGU1,KALIMANTAN,SAG001_STOSANGGAU-DMT,18283,13,18283_13_2G,DCS 1800,2G,110.5932458,0.1220836,,,PONTIANAK,PONTIANAK,KALIMANTAN,TAMAN ARONG BELOPA,SPECIAL AREA,SPECIAL AREA/MALL/ALUN ALUN,110.5932458,0.1220836,SPECIAL AREA
