Subnetwrok ID,EMS,Subnetwork Name,Regional,ID-BOARDINFO/Port,USERLABEL,Remark,BOARDINFO,MODULE,PORTTYPE,LOCALPORT,SUBPORT,VLANID,VPNID,MAC,IPV4ADDR,IPV4SUBNETMASKLEN,IPV6ADDR,IPV6SUBNETMASKLEN
101,EMS5 ,BSCZ_PALU4,MANADO,101-1/1/15/1,IP-Abis-Interface-1,Abis,1/1/2015,1,0,1,0,0,0,00-19-C6-3E-30-16,10.245.104.254,30,,
101,EMS5 ,BSCZ_PALU4,MANADO,101-1/1/17/1,IPA-1,AoIP,1/1/2017,1,0,1,0,0,0,00-19-C6-3E-30-12,,,,
101,EMS5 ,BSCZ_PALU4,MANADO,101-1/1/17/1,IPA-CP1,AoIP,1/1/2017,1,0,1,1,3081,0,,10.245.176.129,30,,
101,EMS5 ,BSCZ_PALU4,MANADO,101-1/1/17/1,IPA-UP1,AoIP,1/1/2017,1,0,1,2,3091,0,,10.245.176.137,30,,
101,EMS5 ,BSCZ_PALU4,MANADO,101-1/1/17/2,IPGB-1,IPGB,1/1/2017,1,0,2,0,0,0,00-19-C6-3E-30-14,10.245.149.61,30,,
101,EMS5 ,BSCZ_PALU4,MANADO,101-1/1/18/1,IPA-2,AoIP,1/1/2018,1,0,1,0,0,0,00-19-C6-3E-30-13,,,,
101,EMS5 ,BSCZ_PALU4,MANADO,101-1/1/18/1,IPA-CP2,AoIP,1/1/2018,1,0,1,1,3082,0,,10.245.176.133,30,,
101,EMS5 ,BSCZ_PALU4,MANADO,101-1/1/18/1,IPA-UP2,AoIP,1/1/2018,1,0,1,2,3092,0,,10.245.176.141,30,,
101,EMS5 ,BSCZ_PALU4,MANADO,101-1/1/18/2,IPGB-2,IPGB,1/1/2018,1,0,2,0,0,0,00-19-C6-3E-30-15,10.245.149.69,30,,
101,EMS5 ,BSCZ_PALU4,MANADO,101-1/3/15/1,IP-Abis-Interface-2,Abis,1/3/2015,1,0,1,0,0,0,00-19-C6-3E-30-23,10.245.104.250,30,,
102,EMS5 ,BSCZ_MANADO7,PALU,102-1/3/16/1,Reflektor LTE transport quality,,1/3/2016,1,0,1,0,0,0,00-19-C6-42-45-41,10.245.146.134,30,,
102,EMS5 ,BSCZ_MANADO7,PALU,102-1/3/23/1,IPGB-1,IPGB,1/3/2023,1,0,1,0,0,0,00-19-C6-3E-30-14,10.245.149.29,30,,
102,EMS5 ,BSCZ_MANADO7,PALU,102-1/3/24/1,IPGB-2,IPGB,1/3/2024,1,0,1,0,0,0,00-19-C6-3E-30-15,10.245.149.37,30,,
102,EMS5 ,BSCZ_MANADO7,PALU,102-1/3/25/1,Interface IPA1,AoIP,1/3/2025,1,0,1,0,0,0,00-19-C6-3E-30-19,,,,
102,EMS5 ,BSCZ_MANADO7,PALU,102-1/3/25/1,Interface CP1,,1/3/2025,1,0,1,1,3291,0,,10.245.176.1,30,,
102,EMS5 ,BSCZ_MANADO7,PALU,102-1/3/25/1,Interface UP1,,1/3/2025,1,0,1,2,3128,0,,10.245.176.9,30,,
102,EMS5 ,BSCZ_MANADO7,PALU,102-1/3/26/1,Interface IPA2,AoIP,1/3/2026,1,0,1,0,0,0,00-19-C6-3E-30-20,,,,
102,EMS5 ,BSCZ_MANADO7,PALU,102-1/3/26/1,Interface CP2,,1/3/2026,1,0,1,1,3129,0,,10.245.176.5,30,,
102,EMS5 ,BSCZ_MANADO7,PALU,102-1/3/26/1,Interface UP2,,1/3/2026,1,0,1,2,3139,0,,10.245.176.13,30,,
102,EMS5 ,BSCZ_MANADO7,PALU,102-1/3/27/1,IP-Abis-Interface-1,Abis,1/3/2027,1,0,1,0,0,0,00-19-C6-42-A2-E2,10.245.102.253,30,,
102,EMS5 ,BSCZ_MANADO7,PALU,102-1/3/28/1,IP-Abis-Interface-2,Abis,1/3/2028,1,0,1,0,0,0,00-19-C6-42-AB-65,10.245.102.249,30,,
103,EMS5 ,BSCZ_GORONTALO7,MANADO,103-1/1/23/1,IP-Abis-Interface-NEC,Abis,1/1/2023,1,0,1,0,0,0,00-19-C6-3E-30-16,,,,
103,EMS5 ,BSCZ_GORONTALO7,MANADO,103-1/1/24/1,IP-Abis-Interface-MetroE,Abis,1/1/2024,1,0,1,0,0,0,00-19-C6-3E-30-21,,,,
103,EMS5 ,BSCZ_GORONTALO7,MANADO,103-1/1/24/1,Abis_3134,Abis,1/1/2024,1,0,1,2,3134,0,,10.245.103.17,28,,
